# Annotated with Bakta
# Software: v1.11.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	97	747	+	COILCL_00001		Phage-related minor tail protein	SO:0001217, UniRef:UniRef50_A0A5P6AAA0
contig_1	cds	755	1963	-	COILCL_00002	xerD	Site-specific recombinase XerD	RefSeq:WP_029497238.1, SO:0001217, UniParc:UPI0004950A51, UniRef:UniRef100_UPI0004950A51, UniRef:UniRef50_A0A4U9CXL1, UniRef:UniRef90_A0A4U9CXL1
contig_1	cds	2556	3041	+	COILCL_00003	araC	AraC family transcriptional regulator	COG:COG2207, COG:K, RefSeq:WP_004184275.1, SO:0001217, UniParc:UPI0002186631, UniRef:UniRef100_A0A377ZJV0, UniRef:UniRef50_A0A170B643, UniRef:UniRef90_A0A170B643
contig_1	cds	2996	3868	-	COILCL_00004	nlpC	Murein DD-endopeptidase MepH	COG:COG0791, COG:M, EC:3.4.-.-, KEGG:K19303, RefSeq:WP_004151204.1, SO:0001217, UniParc:UPI0001A58A53, UniRef:UniRef100_A0A377ZJA2, UniRef:UniRef50_P76190, UniRef:UniRef90_A0A7U2ZVB1
contig_1	cds	4209	4556	+	COILCL_00005	grxD	Grx4 family monothiol glutaredoxin	COG:COG0278, COG:O, GO:0005737, GO:0015036, GO:0016491, GO:0046872, GO:0051537, RefSeq:WP_002907768.1, SO:0001217, UniParc:UPI0001576E36, UniRef:UniRef100_A0A0H3GUI0, UniRef:UniRef50_P0AC69, UniRef:UniRef90_P0AC69
contig_1	cds	4604	5251	-	COILCL_00006	rnt	ribonuclease T	COG:COG0847, COG:L, EC:3.1.13.-, GO:0000287, GO:0003676, GO:0005829, GO:0006364, GO:0008033, GO:0008408, GO:0016896, GO:0042780, GO:0045004, RefSeq:WP_002907766.1, SO:0001217, UniParc:UPI0001576E35, UniRef:UniRef100_A6TA01, UniRef:UniRef50_P30014, UniRef:UniRef90_A6TA01
contig_1	cds	5389	5796	-	COILCL_00007	gloA	lactoylglutathione lyase	COG:COG0346, COG:Q, EC:4.4.1.5, GO:0004462, GO:0005737, GO:0005829, GO:0009636, GO:0016151, GO:0019243, GO:0042803, RefSeq:WP_002907764.1, SO:0001217, UniParc:UPI0001576E34, UniRef:UniRef100_A0A0H3GYY2, UniRef:UniRef50_P0AC81, UniRef:UniRef90_P0AC81
contig_1	cds	5875	6972	-	COILCL_00008	fadH	Alkene reductase	COG:C, COG:COG1902, RefSeq:WP_032424032.1, SO:0001217, UniParc:UPI00044F6C84, UniRef:UniRef100_A0A919HP64, UniRef:UniRef50_A0A085JE30, UniRef:UniRef90_A0A285B4W4
contig_1	cds	7026	7625	-	COILCL_00009	acrR	Transcriptional repressor NemR	COG:COG1309, COG:K, RefSeq:WP_009486422.1, SO:0001217, UniParc:UPI0001576E32, UniRef:UniRef100_A0A1L5SPD8, UniRef:UniRef50_P67430, UniRef:UniRef90_A0A1L5SPD8
contig_1	cds	7768	8007	+	COILCL_00010	ydhL	DUF1289 domain-containing protein	COG:COG3313, COG:R, RefSeq:WP_002907761.1, SO:0001217, UniParc:UPI000218662E, UniRef:UniRef100_A0A0C7F9D8, UniRef:UniRef50_Q8CW10, UniRef:UniRef90_A0A0H3GUH8
contig_1	cds	8056	8952	+	COILCL_00011	ydhF	Aldo/keto reductase	COG:COG4989, COG:R, RefSeq:WP_002907760.1, SO:0001217, UniParc:UPI0001576E30, UniRef:UniRef100_A0A378B4F6, UniRef:UniRef50_P42972, UniRef:UniRef90_A0A0B7G4P1
contig_1	cds	9022	9543	+	COILCL_00012	sodC	superoxide dismutase [Cu-Zn] SodC	COG:COG2032, COG:P, EC:1.15.1.1, GO:0004784, RefSeq:WP_004184268.1, SO:0001217, UniParc:UPI0001576E2F, UniRef:UniRef100_A0A378B6P0, UniRef:UniRef50_P0CW86, UniRef:UniRef90_A0AAQ1W4P3
contig_1	cds	9536	11560	-	COILCL_00013	yccC	FUSC family protein	COG:COG1289, COG:S, RefSeq:WP_073535503.1, SO:0001217, UniParc:UPI000935A6C5, UniRef:UniRef100_UPI000935A6C5, UniRef:UniRef50_P76186, UniRef:UniRef90_A6T9Z4
contig_1	cds	11560	12456	-	COILCL_00014	emrA	Auxiliary transport protein, membrane fusion protein (MFP) family	COG:COG1566, COG:V, RefSeq:WP_004143835.1, SO:0001217, UniParc:UPI0001576E2D, UniRef:UniRef100_A0A0H3GUH7, UniRef:UniRef50_A0A8E1RNN9, UniRef:UniRef90_A0A377YL85
contig_1	cds	12467	12703	-	COILCL_00015		DUF1656 domain-containing protein	RefSeq:WP_004143834.1, SO:0001217, UniParc:UPI0001813B6E, UniRef:UniRef100_A0A0H3GP69, UniRef:UniRef50_P64471, UniRef:UniRef90_A6T9Z2
